,Chart Number,Glycan Name_Seal,Average RFU_Seal,StDev_Seal,% CV_Seal,t-value_Seal,p-value_Seal,Glycan Name_Human,Average RFU_Human,StDev_Human,% CV_Human,t-value_Human,p-value_Human,alpha(2-3),alpha(2-6)
26,259,Neu5Aca2-3Galb1-4GlcNAcb-Sp0,435.8387,33.92041658,7.782791334,12.17080277,0.000597073,Neu5Aca2-3Galb1-4GlcNAcb-Sp0,14.997025,6.543481284,43.63186221,-1.681516997,,TRUE,FALSE
27,234,Neu5Aca2-3Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,586.7152,48.44295345,8.256638562,11.63668108,0.000681595,Neu5Aca2-3Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,10.687575,5.479304299,51.26798454,-2.79459292,,TRUE,FALSE
28,250,Neu5Aca2-3Galb1-3GlcNAcb-Sp8,306.953625,25.69209913,8.370026295,11.05217692,0.000793311,Neu5Aca2-3Galb1-3GlcNAcb-Sp8,2.27595,4.526855542,198.8996042,-5.240734939,,TRUE,FALSE
29,264,Neu5Aca2-3Galb1-4Glcb-Sp8,551.5812,47.98433043,8.699413692,11.0157044,0.000801064,Neu5Aca2-3Galb1-4Glcb-Sp8,6.2352,6.271141467,100.5764285,-3.151706927,,TRUE,FALSE
30,461,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,450.594375,40.1971563,8.920918353,10.63742847,0.000887735,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,8.1666,1.64925579,20.19513371,-10.81299827,,TRUE,FALSE
31,260,Neu5Aca2-3Galb1-4GlcNAcb-Sp8,426.082225,39.37912667,9.242142562,10.23593612,0.000993879,Neu5Aca2-3Galb1-4GlcNAcb-Sp8,6.1634,9.622572207,156.1244152,-2.061465435,,TRUE,FALSE
32,254,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,365.1922,36.2294356,9.920648799,9.445142998,0.001257655,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,7.385225,6.320902061,85.58848324,-2.944955454,,TRUE,FALSE
33,246,Neu5Aca2-3Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,396.414225,40.89681335,10.31668663,9.130643549,0.001388334,Neu5Aca2-3Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,1.564475,5.709175738,364.9259808,-4.280044287,,TRUE,FALSE
34,223,Neu5Aca2-3Galb1-3GalNAca-Sp8,625.50015,70.10511522,11.20784947,8.594239494,0.001655944,Neu5Aca2-3Galb1-3GalNAca-Sp8,15.648175,5.041810442,32.21979843,-2.053195993,,TRUE,FALSE
24,255,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,680.296875,48.85978284,7.182126604,13.45271789,0.000444057,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,3.76495,5.499787614,146.0786362,-4.042892483,,TRUE,FALSE
36,325,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1325.803175,159.3777154,12.02121992,8.174312022,0.001915006,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.6967,3.58233626,62.88441133,-5.66761424,,TRUE,FALSE
37,224,Neu5Aca2-3Galb1-3GalNAca-Sp14,412.578375,55.10416301,13.35604732,7.069853777,0.002909254,Neu5Aca2-3Galb1-3GalNAca-Sp14,7.8807,4.211121239,53.43587801,-4.3027258,,TRUE,FALSE
38,596,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,155.746275,19.41844761,12.46800131,6.836091005,0.003202829,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,5.723325,3.259503841,56.95122749,-6.220785736,,TRUE,FALSE
39,604,GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,539.286525,79.0992448,14.66738758,6.527072747,0.003653863,GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,5.7728,3.892199595,67.42308057,-5.19685579,,TRUE,FALSE
40,526,Neu5Aca2-3Galb1-3GlcNAcb1-2Mana-Sp0,358.4337,56.76936161,15.83817638,5.908710095,0.004840609,Neu5Aca2-3Galb1-3GlcNAcb1-2Mana-Sp0,1.48505,3.386183419,228.0181421,-7.239699379,,TRUE,FALSE
41,238,Neu5Aca2-3Galb1-3(6S)GlcNAc-Sp8,295.600125,47.90608723,16.2063826,5.690302439,0.005379473,Neu5Aca2-3Galb1-3(6S)GlcNAc-Sp8,12.58365,1.783021295,14.16934907,-7.524503516,,TRUE,FALSE
42,491,Neu5Aca2-3Galb1-3GlcNAcb1-6GalNAca-Sp14,142.674,21.87552199,15.33252169,5.470680885,0.00600338,Neu5Aca2-3Galb1-3GlcNAcb1-6GalNAca-Sp14,9.87595,5.756094436,58.28395685,-2.801213597,,TRUE,FALSE
43,329,"Neu5,9Ac2a2-3Galb1-3GlcNAcb-Sp0",106.85365,15.64783171,14.64417146,5.358803157,0.006357787,"Neu5,9Ac2a2-3Galb1-3GlcNAcb-Sp0",-0.847475,3.795013133,-447.8023698,-7.074408983,,TRUE,FALSE
35,282,Neu5Gca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,103.199,9.633738542,9.335108424,8.324805541,0.001816379,Neu5Gca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,5.12705,5.69976928,111.1705421,-3.662069283,,TRUE,FALSE
23,459,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,137.554225,7.858553371,5.71305852,14.57701177,0.000350047,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,1.744925,0.8754375,50.17049442,-27.70623261,,TRUE,FALSE
22,252,Neu5Aca2-3Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,1137.37605,74.06996712,6.512355093,15.04491082,0.000318719,Neu5Aca2-3Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,278.745475,46.34065972,16.62472179,5.454075891,0.00605432,TRUE,FALSE
21,242,Neu5Aca2-3Galb1-3(6S)GalNAca-Sp8,592.68815,35.55378872,5.998734532,16.02327545,0.00026432,Neu5Aca2-3Galb1-3(6S)GalNAca-Sp8,3.418125,6.120561149,179.0619462,-3.689510561,,TRUE,FALSE
2,263,Neu5Aca2-3Galb1-4Glcb-Sp0,391.418675,8.518140774,2.176222372,43.25106673,1.36E-05,Neu5Aca2-3Galb1-4Glcb-Sp0,19.208775,6.564243128,34.1731481,-1.034578529,,TRUE,FALSE
3,258,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,945.85635,22.50516781,2.379343101,41.00641941,1.60E-05,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,6.876675,9.736065152,141.5809988,-1.964173894,,TRUE,FALSE
4,534,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-2Mana-Sp0,678.0737,17.07664334,2.518405202,38.36080002,1.95E-05,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-2Mana-Sp0,10.010025,8.43810965,84.29658917,-1.894971227,,TRUE,FALSE
5,241,Neu5Aca2-3Galb1-4(Neu5Aca2-3Galb1-3)GlcNAcb-Sp8,1135.520575,33.5939608,2.958463417,33.11668373,3.03E-05,Neu5Aca2-3Galb1-4(Neu5Aca2-3Galb1-3)GlcNAcb-Sp8,8.17075,1.997704725,24.44946578,-8.924867511,,TRUE,FALSE
6,253,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,837.185475,25.36406194,3.029682513,32.099964,3.32E-05,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,-2.805825,5.428588587,-193.4756653,-5.306319412,,TRUE,FALSE
7,257,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4GlcNAcb-Sp8,528.09835,18.82272227,3.564245612,26.83450049,5.68E-05,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4GlcNAcb-Sp8,19.209725,4.850332263,25.24935814,-1.399960793,,TRUE,FALSE
8,474,Neu5Aca2-3Galb1-3GlcNAcb1-6(Neu5Aca2-3Galb1-3GlcNAcb1-2)Mana1-6(Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,1278.28235,46.91283397,3.669989965,26.75775995,5.73E-05,Neu5Aca2-3Galb1-3GlcNAcb1-6(Neu5Aca2-3Galb1-3GlcNAcb1-2)Mana1-6(Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,9.933775,6.629713172,66.73911149,-2.423366529,,TRUE,FALSE
9,239,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp8,434.999025,16.89698492,3.884373057,24.38299062,7.56E-05,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp8,5.80095,2.199079725,37.90895845,-9.185228608,,TRUE,FALSE
