Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
463,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,4.851475,1.929725769,39.77606334,-9.404717133,#NUM!
164,Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,4.850125,8.800914447,181.4574768,-2.062271496,#NUM!
41,(6P)Mana-Sp8,4.8451,3.723814207,76.85732403,-4.875350646,#NUM!
101,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,4.8402,9.320976398,192.5741994,-1.948272287,#NUM!
403,Gala1-4Galb1-3GlcNAcb1-2Mana1-6(Gala1-4Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,4.786325,6.048479904,126.3700209,-3.011281395,#NUM!
227,Neu5Aca2-8Neu5Aca2-8Neu5Aca2-3Galb1-4Glcb-Sp0,4.766375,8.063500481,169.1746974,-2.261254283,#NUM!
488,Galb1-3GlcNAcb1-6GalNAca-Sp14,4.75415,7.107050042,149.4914978,-2.567288804,#NUM!
496,Galb1-4(Fuca1-3)GlcNAcb1-2Mana-Sp0,4.715675,4.236341444,89.83531401,-4.316064992,#NUM!
85,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,4.693375,2.338749046,49.83085832,-7.827528579,#NUM!
336,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,4.690675,2.035286582,43.39005754,-8.995944436,#NUM!
355,(6S)GlcNAcb1-3Galb1-4GlcNAcb-Sp0,4.687625,5.812445968,123.9955408,-3.150545416,#NUM!
357,KDNa2-6Galb1-4GlcNAc-Sp0,4.667725,9.143280394,195.8830135,-2.00499976,#NUM!
408,GalNAcb1-3Gala1-6Galb1-4Glcb-Sp8,4.6478,3.63964128,78.30890486,-5.042310104,#NUM!
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,4.63785,2.455751172,52.95020692,-7.477202989,#NUM!
87,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,4.63435,10.12232574,218.4195354,-1.814370577,#NUM!
407,Galb1-3GlcNAca1-6Galb1-4GlcNAcb-Sp0,4.618325,4.17689556,90.44178485,-4.400798328,#NUM!
557,Neu5Aca2-8Neu5Aca2-3Galb1-4GlcNAc-Sp0,4.616725,4.176326408,90.46080086,-4.401781183,#NUM!
406,Galb1-3GlcNAcb1-6Galb1-4GlcNAcb-Sp0,4.609625,4.415895352,95.79727964,-4.164585783,#NUM!
182,GlcNAcb1-3Galb1-4GlcNAcb-Sp0,4.604275,5.464190601,118.6764605,-3.366596508,#NUM!
404,Gala1-4Galb1-4GlcNAcb1-2Mana1-6(Gala1-4Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,4.60145,5.814100284,126.3536556,-3.164470701,#NUM!
380,Galb1-3GalNAca1-3(Fuca1-2)Galb1-4Glc-Sp0,4.564025,6.665167,146.0370397,-2.766018466,#NUM!
