Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
541,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,6.09455,4.129604827,67.75897855,-4.820182761,#NUM!
128,Galb1-3(Fuca1-4)GlcNAc-Sp0 ,6.059875,10.55384529,174.1594553,-1.889370598,#NUM!
213,Mana1-6(Mana1-3)Mana-Sp9,6.0301,5.184964988,85.98472642,-3.851501417,#NUM!
537,Gala1-3(Fuca1-2)Galb1-3GalNAcb1-3Gala1-4Galb1-4Glc-Sp21,6.00205,3.396798494,56.59397196,-5.88729359,#NUM!
530,GlcNAcb1-2 Mana1-6(GlcNAcb1-4)(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAc-Sp21,5.993475,8.360667654,139.496163,-2.392933893,#NUM!
131,Galb1-4GlcNAcb1-6GalNAca-Sp8,5.97375,7.911781353,132.4424583,-2.531193559,#NUM!
455,Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-6(Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,5.9656,11.08426043,185.802944,-1.807463848,#NUM!
357,KDNa2-6Galb1-4GlcNAc-Sp0,5.962925,6.223972665,104.3778458,-3.219338529,#NUM!
67,Fuca1-2Galb1-3GlcNAcb-Sp0,5.95025,2.111877278,35.49224449,-9.493804498,#NUM!
336,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,5.94825,5.186148557,87.1878041,-3.866404863,#NUM!
179,GlcNAcb1-3GalNAca-Sp8,5.930775,2.822535201,47.59133842,-7.110354192,#NUM!
288,Neu5Aca2-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,5.87755,6.732049989,114.5383704,-2.989052374,#NUM!
85,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,5.85895,4.981773129,85.0284288,-4.042948058,#NUM!
486,Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,5.815475,5.694970449,97.927864,-3.544272122,#NUM!
239,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp8,5.80095,2.199079725,37.90895845,-9.185228608,#NUM!
604,GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,5.7728,3.892199595,67.42308057,-5.19685579,#NUM!
574,GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,5.747225,9.170261194,159.5598083,-2.208527606,#NUM!
596,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,5.723325,3.259503841,56.95122749,-6.220785736,#NUM!
243,Neu5Aca2-6(Neu5Aca2-3Galb1-3)GalNAca-Sp8,5.712775,3.627305254,63.49462833,-5.592919146,#NUM!
550,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp25,5.70495,13.82497828,242.3330315,-1.467998689,#NUM!
325,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.6967,3.58233626,62.88441133,-5.66761424,#NUM!
509,Galb1-3GlcNAca1-3Galb1-4GlcNAcb-Sp8 ,5.6764,3.629204718,63.93497143,-5.600014763,#NUM!
320,GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.659875,4.323530309,76.38914832,-4.704517732,#NUM!
578,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,5.658075,1.018026095,17.9924461,-19.9817324,#NUM!
429,Galb1-4GlcNAcb1-6(Fuca1-2Galb1-3GlcNAcb1-3)Galb1-4Glc-Sp21,5.65805,8.037728217,142.0582748,-2.530808389,#NUM!
595,GlcNAcb1-3Galb1-4GlcNAcb1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,5.641175,5.450058527,96.61211586,-3.735524105,#NUM!
562,GalNAcb1-3GlcNAcb-Sp0 ,5.615375,4.997069656,88.98906406,-4.07931576,#NUM!
469,Glca1-6Glca1-6Glca1-6Glcb-Sp10,5.608125,3.630169344,64.73053551,-5.617334362,#NUM!
231,GalNAcb1-4(Neu5Aca2-3)Galb1-4GlcNAcb-Sp0,5.553025,6.783788554,122.1638396,-3.014093797,#NUM!
293,Galb1-4GlcNAcb1-3Galb1-3GlcNAcb-Sp0,5.539375,7.042984876,127.1440348,-2.905107048,#NUM!
400,Fuca1-2Galb1-4GlcNAcb1-3GalNAca-Sp14,5.483025,5.76655582,105.1710656,-3.557925327,#NUM!
464,Neu5Aca2-6Galb1-4GlcNAcb1-4Mana1-6(GlcNAcb1-4)(Neu5Aca2-6Galb1-4GlcNAcb1-4(Neu5Aca2-6Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,5.4774,5.030099744,91.83371205,-4.079958857,#NUM!
515,(3S)GalNAcb1-4GlcNAc-Sp8 ,5.46415,7.058519607,129.1787306,-2.909370682,#NUM!
280,Neu5Gca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,5.44495,6.683476906,122.7463412,-3.07550251,#NUM!
